country,period,log_rel_flu_level,cov_daily_cases,workplace_presence_reduction,idvi,age,T,RH,latitude,longitude,nb_days_school_closure,nb_days_workplace_closure,nb_days_public_event_restrictions,nb_days_gathering_restrictions,nb_days_public_transport_restrictions,nb_days_stay_at_home_requirements,nb_days_facial_covering_requirements,nb_days_elderly_shielding,nb_days_international_travel_restrictions,nb_days_testing_implementation,nb_days_contact_tracing_implementation
Honduras,summer2021,-0.9627882859661864,112.64313186813186,17.98148148148148,0.407296,24.9,300.77908732234886,81.39938389641868,14.627335123971166,-87.52346748804543,73.0,91.0,91.0,91.0,0.0,91.0,91.0,91.0,65.0,91.0,0.0
Honduras,winter2021,-1.857356447814,69.79986813186814,26.37037037037037,0.407296,24.9,298.40780751512864,77.58201174742695,14.627335123971166,-87.52346748804543,91.0,91.0,91.0,91.0,60.0,89.0,91.0,50.0,71.0,0.0,0.0
Hungary,winter2021,-2.4009333601769804,269.2912747252747,19.52380952380953,0.795623,43.4,276.7373962402344,78.30830383300783,47.49801,19.03991,91.0,91.0,91.0,91.0,91.0,91.0,7.0,91.0,91.0,0.0,0.0
India,autumn2020,-0.8601172756021798,39.7291978021978,13.517189835575486,0.493799,28.2,300.0614509076889,68.08187100573248,20.80176831281388,78.15820883212945,40.0,17.0,68.0,0.0,74.0,0.0,0.0,0.0,91.0,0.0,74.0
India,spring2020,-1.0741574810489225,2.620802197802198,29.746564885496184,0.493799,28.2,303.3956234019886,59.49980158593221,20.80176831281388,78.15820883212945,91.0,58.0,83.0,41.0,41.0,55.0,0.0,43.0,91.0,53.0,77.0
India,spring2021,-1.4545336737279566,142.942021978022,29.5186846038864,0.493799,28.2,303.4799434976548,57.131986291296734,20.80176831281388,78.15820883212945,70.0,56.0,0.0,0.0,0.0,0.0,91.0,91.0,91.0,50.0,50.0
India,summer2021,-0.2645869860869209,29.6038021978022,11.127055306427504,0.493799,28.2,301.69789254996294,79.15413804451453,20.80176831281388,78.15820883212945,42.0,63.0,0.0,0.0,0.0,0.0,91.0,91.0,91.0,0.0,0.0
India,winter2021,-1.3735764191741475,11.839351648351649,9.168908819133035,0.493799,28.2,296.78191270643754,60.31455820850217,20.80176831281388,78.15820883212945,72.0,0.0,0.0,0.0,43.0,0.0,48.0,48.0,91.0,48.0,91.0
Indonesia,spring2020,-0.1897747674379583,1.5173846153846156,28.82857142857143,0.562944,29.3,299.9688509871274,82.89867303354575,-4.887366088802735,108.4527463241145,91.0,59.0,0.0,0.0,0.0,0.0,70.0,0.0,91.0,0.0,0.0
Indonesia,spring2021,-0.6802891605853959,19.55954945054945,24.085714285714285,0.562944,29.3,299.9120239032618,81.34644439927531,-4.887366088802735,108.4527463241145,91.0,0.0,0.0,0.0,0.0,0.0,91.0,0.0,91.0,91.0,91.0
